status,url_asli
Legitimate,https://www.facebook.com/photo/?fbid=2334005530108574&set=pcb.2334005966775197
Phishing,http://zabgc.ru/file/Plan/Santander/Particulares.php
Legitimate,https://www.babla.co.id/bahasa-inggris-bahasa-indonesia/legitimate
Phishing,https://xplusstore.com/cig-bin/lt/3mail@b.c
Legitimate,https://www.facebook.com/photo?fbid=2381004508742009&set=pcb.2381004538742006
Phishing,https://www--wellsfargo--com--yy49329d48d6c.wsipv6.com/
Legitimate,https://scontent.fkno6-1.fna.fbcdn.net/v/t39.30808-6/349096921_272295722026791_5613537576294068978_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=tOOIwkYG3HAAX_SnpBs&_nc_ht=scontent.fkno6-1.fna&oh=00_AfC_v-bx4WrclKAezg8r9-dK0ybAZiBqaJ3kP5cMBqfkyA&oe=647EF105
Phishing,https://www--wellsfargo--com--yw49329d48d6c.wsipv6.com/
Legitimate,https://openphish.com/whatsnew.html
Phishing,https://www--wellsfargo--com--wn49329d48d6c.wsipv6.com/
Legitimate,https://simamaung.com/persib-pinjamkan-henhen-ke-dewa-united-selama-semusim/
Phishing,https://www--wellsfargo--com--u749329d48d6c.wsipv6.com/locator/search/?searchtxt=mm&mlflg=n&sgindex=99&chflg=n&bo=1&_bo=on&_wl=on&_os=on&_bdu=on&_adu=on&_ah=on&_sdb=on&_aa=on&_nt=on
Legitimate,https://www.facebook.com/photo/?fbid=2381004512075342&set=pcb.2381004538742006
Phishing,http://googeldrive-pe.com/
Legitimate,https://react.dev/community/conferences
Phishing,https://www--wellsfargo--com--t849329d48d6c.wsipv6.com/es/
Legitimate,https://www.police.govt.nz/contact-us/calling-emergency-111
Phishing,https://www--wellsfargo--com--pv49329d48d6c.wsipv6.com/
Legitimate,https://pintu.co.id/blog/apa-itu-metaverse-di-dunia-crypto
Phishing,https://www--wellsfargo--com--ph49329d48d6c.wsipv6.com/
Legitimate,https://www.linkedin.com/learning/?trk=nav_neptune_learning&
Phishing,https://www--wellsfargo--com--p049329d48d6c.wsipv6.com/
Legitimate,https://indodax.com/login
Phishing,https://www--wellsfargo--com--lt49329d48d6c.wsipv6.com/
Legitimate,https://www.youtube.com/watch?v=przDtdtokvM&ab_channel=LIRIKSHOLAWAT
Phishing,https://www--wellsfargo--com--8g49329d48d6c.wsipv6.com/
Legitimate,https://www.youtube.com/watch?v=pgN-vvVVxMA&list=RDQLFrEb6yjH8&index=13
Phishing,https://www--wellsfargo--com--7649329d48d6c.wsipv6.com/
Legitimate,https://www.youtube.com/
Phishing,https://www--wellsfargo--com--5649329d48d6c.wsipv6.com/
Legitimate,https://www.yahoo.com/
Phishing,https://www--wellsfargo--com--5149329d48d6c.wsipv6.com/
Legitimate,https://www.xl.co.id/id/myxl?fun=5002c2ba-e207-44a6-9189-f37a658771ee
Phishing,https://www--wellsfargo--com--3949329d48d6c.wsipv6.com/
Legitimate,https://www.w3schools.com/js/
Phishing,http://www.work511.in/order/
Legitimate,https://www.vpnjantit.com/account/dashboard/sign-in?from=/account/dashboard/
Phishing,https://www.webfun.website/landingpages/a46d90be-0af9-4ee4-9f41-d000b895812f/1Mg2QhWWkpTfjT-RuIyu57yQrAERm8gomDr-XNSAyqE
Legitimate,https://www.visionplus.id/channel/2746/btv?cnumb=2746
Phishing,https://www.pancake-ape.com/
Legitimate,https://www.visionplus.id/auth/login
Phishing,http://www.myhrworkpaydayemployee.ftp1.biz/
Legitimate,https://www.vidio.com/live/9431-world-cup-2
Phishing,https://www.mmtoken.win/about.html
Legitimate,https://www.unesco.org/en
Phishing,https://www.miagoth.com/main/login.htm
Legitimate,https://www.tiktok.com/tag/SerunyaKulinerBareng?lang=en
Phishing,http://www.marjol0k5on.duckdns.org/cntre.html
Legitimate,https://www.techfor.id/china-luncurkan-modul-stasiun-luar-angkasa-baru/
Phishing,https://www.icloudfind-my.info/expire/
Legitimate,https://www.superairjet.com/en/promotions.php
Phishing,https://www.ecasolution.com/book.html
Legitimate,https://www.satu-indonesia.com/SIA2021vote/login.php
Phishing,http://www.couponsonfire.com/wp-content/themes/it/intesa/de67b/
Legitimate,https://www.riaupos.co/login.php
Phishing,http://www.citizensbank-support.duckdns.org/
Legitimate,https://www.rctiplus.com/api/index
Phishing,http://wombatapp.exchange/meta/Import.php
Legitimate,https://www.rajaputramedia.com/artikel/cara-membuat-login-dengan-php-mysqli.php
Phishing,http://wannacool.com/pole/office365/
Legitimate,https://www.qnclaundry.com/login.php
Phishing,http://uyn.pk-c.my.id/RD.ZS/
Legitimate,https://www.python.org/community/forums/
Phishing,https://uphooldaccount.mystrikingly.com/
Legitimate,https://www.python.org/community/diversity/
Phishing,https://uphold-loing.mystrikingly.com/
Legitimate,https://www.protadesindonesia.web.id/login.php?accesscheck=%2Findexadmin.php
Phishing,https://upholdloginac.mystrikingly.com/
Legitimate,https://www.presidenri.go.id/siaran-pers/presiden-jokowi-dorong-percepatan-pengembangan-ekosistem-baterai-listrik-di-indonesia/
Phishing,https://uphold-ac-login.mystrikingly.com/
Legitimate,https://www.presidenri.go.id/siaran-pers/manfaat-nyata-jembatan-kretek-2-bagi-masyarakat/
Phishing,http://upgholdlohin.godaddysites.com/
Legitimate,https://www.prakerja.go.id/artikel/lima-tips-kerja-kantoran-dengan-gaji-menawan
Phishing,https://trs42.lsk5fa.my.id/
Legitimate,https://www.perpustakaan.unsada.ac.id/index.php?p=show_detail&id=18590
Phishing,http://trejfgd44.toythieves.com/
Legitimate,https://www.pegipegi.com/user/register?resource=flight&redirect=//www.pegipegi.com/flight/
Phishing,https://travel-9.com/adb/doc.html
Legitimate,https://www.paypal.com/id/home
Phishing,http://tramites-de-firma-digital1.webnode.fi/
Legitimate,https://www.nexon.com/account/en/login?return_url=https%3A%2F%2Fwww.nexon.com%2Fmain%2Fen
Phishing,http://torinkony.com/new/new/HrFys/aHN1bmd1QG5hbHNpLmNvbQ==
Legitimate,https://www.netflix.com/NotFound?prev=https%3A%2F%2Fwww.netflix.com%2Flogin%2Flogin.php%3Flocale%3Did-ID
Phishing,http://torinkony.com/new/new/7UVmT/bWF0aGV3c0BvcmdhbmljZm9vZHNhbmRjYWZlLmNvbQ==
Legitimate,https://www.nasa.gov/multimedia/nasatv/index.html#public
Phishing,http://torinkony.com/new/new/6ezmn/ZGFycmVuQHByZXNsZXMuY28uemE=
Legitimate,https://www.microsoft.com/id-id/microsoft-365
Phishing,http://toolstracking.0e8sdm3.us/
Legitimate,https://www.met.police.uk/ro/report/ocr/af/how-to-report-a-crime/
Phishing,https://ieporticorionegro.edu.co/MQZU.php
Legitimate,https://www.mediawiki.org/wiki/API:Login
Phishing,https://www.attemplate.com/eur/848a916b-460f-4620-9eed-25e6804803f1/2fc5353f-58c5-4ca5-875a-c2b7febb65a4/1f1a17f1-16f7-4e6b-aee6-e2d642f46c2c/login?id=aDJNL21HRTUrT3Vya3hYUUlkc2VnZU5jZTJlUTZJc2gyMUVDMVo1aGhYdkoyY3JqbStwb0FnY0dxME9GaWpHWmZUOENsZ0Q3RkY0Y3ZCZjBhZTNhZUZEWEYvTUlmUUUxU2cwWnhYWmVadHc5MTFsU2RtZkUzSGdYNHJRa1FXcGdkOEpaNlhZdzFNdFFSVGlWR0hUemswR3dPdFRNUVZJRU02bWd3M3hzdTIwN2tlaFFMTDhMU01hTFlEU2VXdHBFamNxY1p6UmdBSHJsMGltVWR5aDVjMmZBQ3lqR0ZpKzQzbE9FNWx6L1kxRjJmeUhEYSs4cUJXdWNZVmNmZW9wVDdkRU1pRkcwZ0VONUNFNHVaUExUaFFwS3VvRW1xWVBVR2loU21lOGRrczZmU3plYUgxSXJGMVRxOERIdThiTDJ5eHpRbXZuZEFtSG51bXJaNFl1ME1oVHlXY0dKaW5MRVEwNXZqMUxJSkV5SlZkWmEvVmRuZlhQSElOa2lQV3ZtZExWc2wvRzY5YmVlcDVBa1JmejFaZz09
Legitimate,https://www.lockheedmartin.com/en-us/capabilities/aircraft.html
Phishing,http://tinyurl.com/4x6e99w7
Legitimate,https://id.linkedin.com/learning/trik-produktivitas-teratas-miss-excel
Phishing,https://sites.google.com/view/rxytcyvgubhnijmk/2023
Legitimate,http://www.linkedin.com/
Phishing,https://sites.google.com/view/gyujdrtgbsefdvxer/halaman-muka
Legitimate,https://www.kviconline.gov.in/pmegpeportal/bankModule/index.jsp
Phishing,https://sites.google.com/view/mnbvcxasdfghoiuytre/halaman-muka
Legitimate,https://www.kominfo.go.id/index.php/content/detail/3717/Seluruh+PNS+Wajib+Gunakan+Email+Resmi+Pemerintah+Untuk+Urusan+Dinas/0/berita
Phishing,https://sites.google.com/view/erdtfyguhbjn/2023
Legitimate,https://www.kaggle.com/
Phishing,https://e-processmed.com/wp-content/themes/twentytwentythree/patterns/content/info/activation/agricole02/
Legitimate,https://www.iixplanet.com/vps-murah.html
Phishing,https://tally.so/r/mRxryP
Legitimate,https://www.internetpanin.com/PaninWeb/core/login.aspx
Phishing,http://t.ly/nUiIP
Legitimate,https://www.instagram.com/accounts/login/
Phishing,http://t.ly/Jd3cM
Legitimate,https://www.indonesia.travel/gb/en/partnership-opportunity
Phishing,http://steamconmmutiy.com/profiles/76568181993852655
Legitimate,https://www.hsbc.co.id/1/2/logon
Phishing,https://sparkassen-anmeldung.de/personendaten-aktualisieren
Legitimate,https://www.hastaindonesia.com/login.php
Phishing,http://sparkasse.de-de.mobi/
Legitimate,https://www.gov.uk/government/collections/defence-and-security-accelerator-submit-your-research-proposal
Phishing,https://soorajsrj123.github.io/netflix.clone/
Legitimate,https://www.gov.uk/
Phishing,https://sinsmlbb.my.id/cgi-sys/suspendedpage.cgi
Legitimate,https://www.google.com/
Phishing,https://sign-in-att-103624.weeblysite.com
Legitimate,https://www.garuda-indonesia.com/id/id/news-and-events/garuda-indonesia-layani-dengan-pilot-dan-awak-kabin-yang-telah-vaksinasi
Phishing,https://sids-service.de/de/start.php
